category,word,example_sentence
Dolch,come,Please come to the table.
Dolch,play,We play outside after lunch.
Dolch,find,Can you find your shoes?
Dolch,make,Let’s make a cake together.
Dolch,where,Where is my red hat?
Dolch,run,I can run faster than you.
Dolch,little,The little dog barked loudly.
Phonics,cat,The cat sat on the mat.
Phonics,ship,The ship sailed away.
Phonics,ring,She wore a shiny ring.
Phonics,moon,The moon is bright tonight.
Phonics,chair,He sat in the wooden chair.
Phonics,book,Please open your book to page five.
Minimal Pair,bat,He swung the bat at the ball.
Minimal Pair,pat,She gave the dog a gentle pat.
Minimal Pair,pen,The pen is on the desk.
Minimal Pair,pan,The pan is on the stove.
Minimal Pair,ship,The ship left the harbor.
Minimal Pair,sheep,The sheep grazed in the field.
Minimal Pair,bit,He bit into the apple.
Minimal Pair,beat,The drum beat was loud.
