category,word,example_sentence
Dolch,come,Please come to the table.|Come sit with your friends.|Can you come help me?
Dolch,play,We play outside after lunch.|Let’s play a game after dinner.|Do you want to play with the blocks?
Dolch,find,Can you find your shoes?|Find the red crayon in the box.|Help me find the missing puzzle piece.
Dolch,make,Let’s make a cake together.|Make sure to stir the batter.|Can you make a tall tower?
Dolch,where,Where is my red hat?|Tell me where you put your book.|Where did the puppy go?
Dolch,run,I can run faster than you.|Run to the finish line.|Please do not run in the hallway.
Dolch,little,The little dog barked loudly.|She held a little kitten.|This little cup is for you.
Phonics,cat,The cat sat on the mat.|Pet the soft cat gently.|The cat likes to nap in the sun.
Phonics,ship,The ship sailed away.|We watched the ship leave the dock.|A big ship carries many people.
Phonics,ring,She wore a shiny ring.|The bell will ring at noon.|Please ring the doorbell once.
Phonics,moon,The moon is bright tonight.|Look at the full moon.|The moon shines over the lake.
Phonics,chair,He sat in the wooden chair.|Pull up a chair and sit.|The chair rocked back and forth.
Phonics,book,Please open your book to page five.|Read a book before bed.|The book has colorful pictures.
Minimal Pair,bat,He swung the bat at the ball.|Hang the bat costume on the hook.|A bat flies silently at night.
Minimal Pair,pat,She gave the dog a gentle pat.|Pat the dough flat.|Give your friend a pat on the back.
Minimal Pair,pen,The pen is on the desk.|Use a blue pen to write.|Click the pen to open it.
Minimal Pair,pan,The pan is on the stove.|Cook the eggs in the pan.|Wash the pan after dinner.
Minimal Pair,ship,The ship left the harbor.|A ship can sail across the sea.|The ship sounded a loud horn.
Minimal Pair,sheep,The sheep grazed in the field.|Count the fluffy sheep.|A sheep gives us warm wool.
Minimal Pair,bit,He bit into the apple.|Take a small bit of the cookie.|The horse bit fits gently in its mouth.
Minimal Pair,beat,The drum beat was loud.|You can beat the eggs quickly.|Listen to the beat of the song.
